Pressure(kbar)	Temperature(C)	G(J)
3	950	-935137
3	948	-934876
3	946	-934616
3	944	-934356
3	942	-934097
3	940	-933838
3	938	-933579
3	936	-933320
3	934	-933061
3	932	-932803
3	930	-932545
3	928	-932287
3	926	-932029
3	924	-931772
3	922	-931514
3	920	-931257
3	918	-931001
3	916	-930744
3	914	-930488
3	912	-930232
3	910	-929976
3	908	-929721
3	906	-929465
3	904	-929210
3	902	-928956
3	900	-928701
3	898	-928447
3	896	-928193
3	894	-927939
3	892	-927685
3	890	-927432
3	888	-927179
3	886	-926926
3	884	-926673
3	882	-926421
3	880	-926169
3	878	-925917
3	876	-925665
3	874	-925414
3	872	-925163
3	870	-924912
3	868	-924661
3	866	-924411
3	864	-924160
3	862	-923911
3	860	-923661
3	858	-923411
3	856	-923162
3	854	-922913
3	852	-922665
3	850	-922416
3	848	-922168
3	846	-921920
3	844	-921672
3	842	-921425
3	840	-921178
3	838	-920931
3	836	-920684
3	834	-920438
3	832	-920192
3	830	-919946
3	828	-919700
3	826	-919455
3	824	-919210
3	822	-918965
3	820	-918720
3	818	-918476
3	816	-918232
3	814	-917988
3	812	-917744
3	810	-917501
3	808	-917258
3	806	-917015
3	804	-916772
3	802	-916530
3	800	-916288
3	798	-916046
3	796	-915805
3	794	-915563
3	792	-915322
3	790	-915081
3	788	-914841
3	786	-914601
3	784	-914361
3	782	-914121
3	780	-913882
3	778	-913642
3	776	-913404
3	774	-913165
3	772	-912927
3	770	-912688
3	768	-912451
3	766	-912213
3	764	-911976
3	762	-911739
3	760	-911502
3	758	-911265
3	756	-911029
3	754	-910793
3	752	-910557
3	750	-910322
3	748	-910087
3	746	-909852
3	744	-909617
3	742	-909383
3	740	-909149
3	738	-908915
3	736	-908682
3	734	-908448
3	732	-908215
3	730	-907983
3	728	-907750
3	726	-907518
3	724	-907286
3	722	-907054
3	720	-906823
3	718	-906592
3	716	-906361
3	714	-906131
3	712	-905901
3	710	-905671
3	708	-905441
3	706	-905212
3	704	-904983
3	702	-904754
3	700	-904525
3	698	-904297
3	696	-904069
3	694	-903841
3	692	-903614
3	690	-903387
3	688	-903160
3	686	-902933
3	684	-902707
3	682	-902481
3	680	-902255
3	678	-902030
3	676	-901805
3	674	-901580
3	672	-901355
3	670	-901131
3	668	-900907
3	666	-900683
3	664	-900460
3	662	-900237
3	660	-900014
3	658	-899792
3	656	-899569
3	654	-899347
3	652	-899126
