Pressure(kbar)	Temperature(C)	G(J)
3	950	-980871
3	948	-980583
3	946	-980295
3	944	-980007
3	942	-979720
3	940	-979433
3	938	-979147
3	936	-978860
3	934	-978574
3	932	-978288
3	930	-978002
3	928	-977717
3	926	-977432
3	924	-977147
3	922	-976862
3	920	-976578
3	918	-976293
3	916	-976009
3	914	-975726
3	912	-975442
3	910	-975159
3	908	-974876
3	906	-974594
3	904	-974311
3	902	-974029
3	900	-973747
3	898	-973466
3	896	-973184
3	894	-972903
3	892	-972622
3	890	-972342
3	888	-972061
3	886	-971781
3	884	-971502
3	882	-971222
3	880	-970943
3	878	-970664
3	876	-970385
3	874	-970107
3	872	-969828
3	870	-969550
3	868	-969273
3	866	-968995
3	864	-968718
3	862	-968441
3	860	-968164
3	858	-967888
3	856	-967612
3	854	-967336
3	852	-967060
3	850	-966785
3	848	-966510
3	846	-966235
3	844	-965961
3	842	-965687
3	840	-965413
3	838	-965139
3	836	-964865
3	834	-964592
3	832	-964319
3	830	-964047
3	828	-963774
3	826	-963502
3	824	-963230
3	822	-962959
3	820	-962688
3	818	-962417
3	816	-962146
3	814	-961875
3	812	-961605
3	810	-961335
3	808	-961066
3	806	-960796
3	804	-960527
3	802	-960259
3	800	-959990
3	798	-959722
3	796	-959454
3	794	-959186
3	792	-958919
3	790	-958652
3	788	-958385
3	786	-958118
3	784	-957852
3	782	-957586
3	780	-957320
3	778	-957055
3	776	-956790
3	774	-956525
3	772	-956260
3	770	-955996
3	768	-955732
3	766	-955468
3	764	-955204
3	762	-954941
3	760	-954678
3	758	-954416
3	756	-954154
3	754	-953891
3	752	-953630
3	750	-953368
3	748	-953107
3	746	-952846
3	744	-952586
3	742	-952325
3	740	-952065
3	738	-951806
3	736	-951546
3	734	-951287
3	732	-951028
3	730	-950770
3	728	-950511
3	726	-950254
3	724	-949996
3	722	-949738
3	720	-949481
3	718	-949225
3	716	-948968
3	714	-948712
3	712	-948456
3	710	-948201
3	708	-947945
3	706	-947690
3	704	-947436
3	702	-947181
3	700	-946927
3	698	-946673
3	696	-946420
3	694	-946167
3	692	-945914
3	690	-945661
3	688	-945409
3	686	-945157
3	684	-944905
3	682	-944654
3	680	-944403
3	678	-944152
3	676	-943902
3	674	-943651
3	672	-943402
3	670	-943152
3	668	-942903
3	666	-942654
3	664	-942405
3	662	-942157
3	660	-941909
3	658	-941661
3	656	-941414
3	654	-941167
3	652	-940920
